(1 5 11 13 15 17 19 21 23 27).	 (55 54)
(3 5 11 13 15 17 19 21 23 27).	 (39 38)
(1 7 11 13 15 17 19 21 23 27).	 (63 62)
(3 7 11 13 15 17 19 21 23 27).	 (47 46)
(1 9 11 13 15 17 19 21 23 27).	 (63 62 55 54)
(3 9 11 13 15 17 19 21 23 27).	 (47 46 39 38)
(5 9 11 13 15 17 19 21 23 27).	 (55 54 39 38)
(7 9 11 13 15 17 19 21 23 27).	 (63 62 47 46)
(1 3 5 7 9 13 17 21 25 27).	 (17)
(1 3 5 7 11 13 17 21 25 27).	 (1)
(1 3 5 7 9 15 17 21 25 27).	 (25)
(1 3 5 7 11 15 17 21 25 27).	 (9)
(1 5 9 11 13 15 17 21 25 27).	 (49)
(3 5 9 11 13 15 17 21 25 27).	 (33)
(1 7 9 11 13 15 17 21 25 27).	 (57)
(3 7 9 11 13 15 17 21 25 27).	 (41)
(1 3 5 7 9 13 19 21 25 27).	 (19)
(1 3 5 7 11 13 19 21 25 27).	 (3)
(1 3 5 7 9 15 19 21 25 27).	 (27)
(1 3 5 7 11 15 19 21 25 27).	 (11)
(1 5 9 11 13 15 19 21 25 27).	 (51)
(3 5 9 11 13 15 19 21 25 27).	 (35)
(1 7 9 11 13 15 19 21 25 27).	 (59)
(3 7 9 11 13 15 19 21 25 27).	 (43)
(1 3 5 7 9 13 17 23 25 27).	 (16)
(1 3 5 7 11 13 17 23 25 27).	 (0)
(1 3 5 7 9 15 17 23 25 27).	 (24)
(1 3 5 7 11 15 17 23 25 27).	 (8)
(1 5 9 11 13 15 17 23 25 27).	 (48)
(3 5 9 11 13 15 17 23 25 27).	 (32)
(1 7 9 11 13 15 17 23 25 27).	 (56)
(3 7 9 11 13 15 17 23 25 27).	 (40)
(1 3 5 7 9 13 19 23 25 27).	 (18)
(1 3 5 7 11 13 19 23 25 27).	 (2)
(1 3 5 7 9 15 19 23 25 27).	 (26)
(1 3 5 7 11 15 19 23 25 27).	 (10)
(1 5 9 11 13 15 19 23 25 27).	 (50)
(3 5 9 11 13 15 19 23 25 27).	 (34)
(1 7 9 11 13 15 19 23 25 27).	 (58)
(3 7 9 11 13 15 19 23 25 27).	 (42)
(1 3 5 7 9 13 17 19 21 29).	 (23 21)
(1 3 5 7 11 13 17 19 21 29).	 (7 5)
(1 3 5 7 9 15 17 19 21 29).	 (31 29)
(1 3 5 7 11 15 17 19 21 29).	 (15 13)
(1 5 9 11 13 15 17 19 21 29).	 (55 53)
(3 5 9 11 13 15 17 19 21 29).	 (39 37)
(1 7 9 11 13 15 17 19 21 29).	 (63 61)
(3 7 9 11 13 15 17 19 21 29).	 (47 45)
(1 3 5 7 9 13 17 19 23 29).	 (23 21)
(1 3 5 7 11 13 17 19 23 29).	 (7 5)
(1 3 5 7 9 15 17 19 23 29).	 (31 29)
(1 3 5 7 11 15 17 19 23 29).	 (15 13)
(1 5 9 11 13 15 17 19 23 29).	 (55 53)
(3 5 9 11 13 15 17 19 23 29).	 (39 37)
(1 7 9 11 13 15 17 19 23 29).	 (63 61)
(3 7 9 11 13 15 17 19 23 29).	 (47 45)
(1 3 5 7 9 13 17 21 23 29).	 (23 21)
(1 3 5 7 11 13 17 21 23 29).	 (7 5)
(1 3 5 7 9 15 17 21 23 29).	 (31 29)
(1 3 5 7 11 15 17 21 23 29).	 (15 13)
(1 5 9 11 13 15 17 21 23 29).	 (55 53)
(3 5 9 11 13 15 17 21 23 29).	 (39 37)
